transcript	chr	strand	start	end	exon	gene
NM_001004340.3	chr1	+	121087394	121096152	3	FCGR1B
NM_001004341.2	chr1	-	157092648	157099523	5	ETV3L
NM_001004342.3	chr1	+	231162969	231215440	10	TRIM67
NM_001004343.2	chr1	-	241996162	241999008	4	MAP1LC3C
NM_001004432.3	chr1	-	151800922	151802704	2	LINGO4
NM_001004434.2	chr1	-	26039159	26045896	8	SLC30A2
NM_001004440.1	chr1	+	112722233	112726680	5	FAM19A3
NM_001004467.1	chr1	-	159313669	159314659	1	OR10J3
NM_001004469.1	chr1	-	159535077	159536007	1	OR10J5
NM_001004472.1	chr1	+	158479877	158480885	1	OR10R2
NM_001004473.1	chr1	+	158465561	158466503	1	OR10K1
NM_001004475.1	chr1	-	158398521	158399466	1	OR10T2
NM_001004476.1	chr1	-	158419927	158420866	1	OR10K2
NM_001004477.1	chr1	-	158578918	158579899	1	OR10X1
NM_001004478.1	chr1	+	158606438	158607380	1	OR10Z1
NM_001004491.1	chr1	+	247965331	247966339	1	OR2AK2
NM_001004492.1	chr1	-	247451028	247451982	1	OR2B11
NM_001004686.2	chr1	+	248038267	248039206	1	OR2L2
NM_001004687.1	chr1	+	248060681	248061620	1	OR2L3
NM_001004688.1	chr1	+	248179985	248181029	1	OR2M2
NM_001004689.1	chr1	+	248203067	248204006	1	OR2M3
NM_001004690.1	chr1	+	248145147	248146086	1	OR2M5
NM_001004691.1	chr1	-	248323629	248324568	1	OR2M7
NM_001004692.1	chr1	-	248294615	248295578	1	OR2T12
NM_001004693.1	chr1	-	248592829	248593768	1	OR2T10
NM_001004694.2	chr1	-	248558543	248559491	1	OR2T29
NM_001004695.1	chr1	-	248272851	248273814	1	OR2T33
NM_001004696.1	chr1	+	248361580	248362627	1	OR2T4
NM_001004697.1	chr1	+	248488588	248489536	1	OR2T5
NM_001004698.2	chr1	+	247491127	247492090	1	OR2W5
NM_001004734.1	chr1	-	248681368	248682304	1	OR14I1
NM_001005184.1	chr1	+	158754815	158755847	1	OR6K6
NM_001005185.1	chr1	-	158765743	158766682	1	OR6N1
NM_001005189.1	chr1	-	158547127	158548105	1	OR6Y1
NM_001005214.3	chr1	+	165544296	165563824	2	LRRC52
NM_001005221.2	chr1	-	450739	451678	1	OR4F29
NM_001005277.1	chr1	-	685715	686654	1	OR4F16
NM_001005278.1	chr1	-	158776681	158777635	1	OR6N2
NM_001005279.1	chr1	-	158699677	158700652	1	OR6K2
NM_001005286.1	chr1	-	247711828	247712755	1	OR6F1
NM_001005290.3	chr1	-	109280120	109282698	8	PSRC1
NM_001005327.2	chr1	-	158717167	158718115	1	OR6K3
NM_001005337.2	chr1	+	201283702	201328836	14	PKP1
NM_001005353.2	chr1	+	65148407	65226177	6	AK4
NM_001005388.2	chr1	+	204944315	205016539	30	NFASC
NM_001005389.1	chr1	+	204944315	204976824	16	NFASC
NM_001005417.2	chr1	+	43981160	43990448	7	B4GALT2
NM_001005464.2	chr1	+	149852654	149853065	1	HIST2H3A
NM_001005471.1	chr1	+	248387608	248388535	1	OR2T6
NM_001005484.1	chr1	+	69090	70008	1	OR4F5
NM_001005487.1	chr1	-	247672117	247673041	1	OR13G1
NM_001005495.1	chr1	+	248473350	248474307	1	OR2T3
NM_001005522.1	chr1	+	247921017	247921956	1	OR2T8
NM_001005741.2	chr1	-	155234994	155241112	12	GBA
NM_001005742.2	chr1	-	155234994	155241112	12	GBA
NM_001005752.1	chr1	+	34784762	34785575	2	GJB3
NM_001005783.2	chr1	+	119380692	119393840	9	HAO2
NM_001005855.1	chr1	+	154328141	154337674	12	ATP8B2
NM_001006605.4	chr1	-	92843382	92961429	5	FAM69A
NM_001006624.1	chr1	+	13607231	13615911	6	PDPN
NM_001006625.1	chr1	+	13607231	13615911	6	PDPN
NM_001006658.2	chr1	+	207454418	207485554	20	CR2
NM_001006665.1	chr1	+	26545900	26574201	21	RPS6KA1
NM_001006943.1	chr1	+	22563635	22589379	5	EPHA8
NM_001006945.1	chr1	-	110947958	110950111	3	LRIF1
NM_001007022.2	chr1	-	86352190	86387027	18	ODF2L
NM_001007098.2	chr1	+	52927396	52993277	11	SCP2
NM_001007099.2	chr1	+	53015020	53050704	5	SCP2
NM_001007100.2	chr1	+	53015020	53050704	5	SCP2
NM_001007214.1	chr1	+	175004727	175010079	6	CACYBP
NM_001007237.2	chr1	-	116577311	116666326	11	IGSF3
NM_001007239.1	chr1	+	171781967	171796756	8	METTL13
NM_001007250.2	chr1	+	53015020	53047911	4	SCP2
NM_001007255.2	chr1	+	161098535	161099758	4	KLHDC9
NM_001007257.2	chr1	+	13773169	13786527	4	PRDM2
NM_001007544.3	chr1	+	206097828	206101952	6	C1orf186
NM_001007553.2	chr1	-	114718168	114739890	20	CSDE1
NM_001007792.1	chr1	+	156815829	156881642	17	NTRK1
NM_001007794.1	chr1	+	111147714	111184310	9	CEPT1
NM_001008216.1	chr1	-	23795948	23799007	12	GALE
NM_001008218.1	chr1	-	103687448	103695639	11	AMY1B
NM_001008219.1	chr1	+	103750469	103758658	11	AMY1C
NM_001008221.1	chr1	+	103656330	103664520	11	AMY1A
NM_001008493.1	chr1	-	225497774	225652690	15	ENAH
NM_001008536.1	chr1	-	152084966	152088143	3	TCHHL1
NM_001008661.2	chr1	-	88936182	88988350	14	KYAT3
NM_001008662.2	chr1	-	88936182	88969464	13	KYAT3
NM_001008740.3	chr1	+	40247993	40251594	2	TMCO2
NM_001008800.2	chr1	-	156309198	156338184	12	CCT3
NM_001009566.2	chr1	-	9730507	9823733	19	CLSTN1
NM_001009568.2	chr1	+	27935183	27956199	7	SMPDL3B
NM_001009611.4	chr1	-	12879543	12883394	4	PRAMEF4
NM_001009881.2	chr1	-	52423934	52526280	30	ZCCHC11
NM_001009931.2	chr1	-	152213075	152223253	3	HRNR
NM_001009955.3	chr1	-	54227130	54406008	17	SSBP3
NM_001009992.1	chr1	-	182056303	182058010	2	ZNF648
NM_001009999.2	chr1	+	23019596	23083364	21	KDM1A
NM_001010846.2	chr1	-	154484148	154502026	6	SHE
NM_001010847.1	chr1	-	13475845	13513593	2	LRRC38
NM_001010857.2	chr1	+	153204707	153205004	2	LELP1
NM_001010858.2	chr1	+	228487488	228493885	4	RNF187
NM_001010861.2	chr1	-	98893071	99004671	6	PLPPR5
NM_001010866.3	chr1	+	9588930	9602291	6	TMEM201
NM_001010867.3	chr1	+	228165816	228175513	3	IBA57
NM_001010881.1	chr1	+	11764400	11789446	21	C1orf167
NM_001010883.2	chr1	+	108560428	108635150	11	FAM102B
NM_001010889.2	chr1	-	12938674	12942518	4	PRAMEF6
NM_001010890.2	chr1	+	13175280	13179132	3	PRAMEF9
NM_001010898.2	chr1	+	110166929	110198444	12	SLC6A17
NM_001010922.2	chr1	-	113881122	113887375	4	BCL2L15
NM_001010926.3	chr1	-	2529468	2530164	3	HES5
NM_001010935.2	chr1	+	111691360	111709235	9	RAP1A
NM_001010969.3	chr1	+	47137485	47148797	12	CYP4A22
NM_001010971.2	chr1	+	84298557	84349774	4	SAMD13
NM_001010978.3	chr1	-	54008981	54018112	6	LDLRAD1
NM_001010979.2	chr1	-	154199426	154206307	4	C1orf189
NM_001010980.4	chr1	+	24595430	24605747	4	NCMAP
NM_001010984.3	chr1	+	231338383	231351606	4	SPRTN
NM_001010985.2	chr1	-	109294238	109306991	9	MYBPHL
NM_001011547.2	chr1	+	48222736	48247543	14	SLC5A9
NM_001011722.2	chr1	+	17580595	17697380	27	ARHGEF10L
NM_001012.1	chr1	+	44775596	44778685	6	RPS8
NM_001012276.3	chr1	-	13281370	13284091	4	PRAMEF8
NM_001012277.4	chr1	+	12917692	12920413	4	PRAMEF7
NM_001012329.1	chr1	-	9850717	9872064	5	CTNNBIP1
NM_001012331.1	chr1	+	156860934	156881642	16	NTRK1
NM_001012425.1	chr1	+	92231420	92245674	6	C1orf146
NM_001012758.2	chr1	+	145845640	145848479	8	NUDT17
NM_001012957.1	chr1	+	231626867	232036831	13	DISC1
NM_001012958.1	chr1	+	231626867	231722601	3	DISC1
NM_001012959.1	chr1	+	231626867	231866578	10	DISC1
NM_001012970.2	chr1	+	244364700	244389069	5	C1orf100
NM_001012985.2	chr1	+	234373718	234383818	3	COA6
NM_001013355.1	chr1	+	248521646	248522597	1	OR2G6
NM_001013407.2	chr1	+	13259268	13263111	4	PRAMEF5
NM_001013615.2	chr1	+	46203426	46220220	2	LURAP1
NM_001013625.3	chr1	-	161364964	161367868	5	CFAP126
NM_001013630.1	chr1	+	12644546	12666735	4	AADACL4
NM_001013631.2	chr1	-	12847407	12848289	2	HNRNPCL1
NM_001013632.3	chr1	-	44806002	44806668	2	TCTEX1D4
NM_001013641.2	chr1	+	15742559	15747632	6	TMEM82
NM_001013642.2	chr1	+	26993786	26994470	2	TRNP1
NM_001013643.1	chr1	+	116694129	116706532	4	C1orf137
NM_001013660.2	chr1	-	99708897	99748768	17	FRRS1
NM_001013661.1	chr1	-	159854752	159862521	7	VSIG8
NM_001013693.2	chr1	+	21812451	21822215	5	LDLRAD2
NM_001014291.3	chr1	-	153149888	153150110	2	SPRR2G
NM_001014342.2	chr1	-	152350609	152358884	3	FLG2
NM_001014434.1	chr1	+	197912531	197929259	6	LHX9
NM_001014443.2	chr1	+	161160640	161165447	14	USP21
NM_001014450.2	chr1	-	153112514	153112733	2	SPRR2F
NM_001014765.1	chr1	+	11655835	11661273	7	FBXO44
NM_001014796.1	chr1	+	162719063	162780246	19	DDR2
NM_001014839.1	chr1	+	35558190	35565663	8	NCDN
NM_001014841.1	chr1	+	35559124	35565663	7	NCDN
NM_001014975.2	chr1	+	196652117	196701331	10	CFH
NM_001014980.2	chr1	-	1242547	1246690	8	FAM132A
NM_001017364.1	chr1	+	207089531	207099929	6	C4BPB
NM_001017365.2	chr1	+	207089531	207099929	7	C4BPB
NM_001017366.2	chr1	+	207089531	207099929	7	C4BPB
NM_001017367.1	chr1	+	207089531	207099929	7	C4BPB
NM_001017402.1	chr1	-	209615270	209650944	22	LAMB3
NM_001017403.1	chr1	+	202193989	202319207	18	LGR6
NM_001017404.1	chr1	+	202214154	202319207	16	LGR6
NM_001017415.1	chr1	+	62439867	62450981	9	USP1
NM_001017416.1	chr1	+	62439867	62450981	9	USP1
NM_001017418.2	chr1	-	153070620	153070839	2	SPRR2B
NM_001017424.2	chr1	+	215005921	215235145	7	KCNK2
NM_001017425.2	chr1	+	215083385	215235145	7	KCNK2
NM_001017434.1	chr1	+	248917337	248918363	3	PGBD2
NM_001017922.1	chr1	+	42830448	42843232	12	ERMAP
NM_001017961.4	chr1	-	166070240	166166248	2	FAM78B
NM_001017975.4	chr1	-	91261289	91401082	39	HFM1
NM_001017977.2	chr1	+	167936911	168075435	19	DCAF6
NM_001017986.3	chr1	+	121087394	121096152	5	FCGR1B
NM_001017999.2	chr1	+	14960739	15065797	8	KAZN
NM_001018000.3	chr1	+	14924364	15065797	8	KAZN
NM_001018001.2	chr1	+	14960739	15065797	8	KAZN
NM_001018016.2	chr1	-	155186134	155192843	8	MUC1
NM_001018017.2	chr1	-	155186134	155192843	8	MUC1
NM_001018053.1	chr1	+	207054717	207079019	15	PFKFB2
NM_001018054.2	chr1	-	53247017	53327912	18	LRP8
NM_001018067.1	chr1	-	67413206	67430300	8	SERBP1
NM_001018068.1	chr1	-	67413206	67430300	8	SERBP1
NM_001018069.1	chr1	-	67413206	67430300	8	SERBP1
NM_001018837.1	chr1	+	154272723	154275701	7	HAX1
NM_001020658.1	chr1	-	30933210	31059566	22	PUM1
NM_001024209.3	chr1	-	153093532	153093751	2	SPRR2E
NM_001024210.1	chr1	-	153618894	153626472	5	S100A13
NM_001024211.1	chr1	-	153618894	153626472	3	S100A13
NM_001024212.1	chr1	-	153618894	153626472	3	S100A13
NM_001024213.1	chr1	-	153618894	153626472	3	S100A13
NM_001024215.1	chr1	+	15764983	15775031	6	FBLIM1
NM_001024216.1	chr1	+	15764983	15784661	5	FBLIM1
NM_001024226.1	chr1	+	228097114	228098013	5	ARF1
NM_001024227.1	chr1	+	228097114	228098013	5	ARF1
NM_001024228.1	chr1	+	228097114	228098013	5	ARF1
NM_001024594.2	chr1	+	197902649	197907220	3	C1orf53
NM_001024598.3	chr1	+	6244365	6245507	4	HES3
NM_001024599.4	chr1	-	149811942	149812323	1	HIST2H2BF
NM_001024601.2	chr1	-	212830241	212836149	3	SPATA45
NM_001024661.2	chr1	-	13342527	13345314	4	PRAMEF14
NM_001024679.2	chr1	+	152719521	152720274	1	C1orf68
NM_001024732.2	chr1	-	29194021	29216633	10	MECR
NM_001024845.2	chr1	-	43997544	44024277	14	SLC6A9
NM_001024940.2	chr1	-	228408200	228415072	7	TRIM17
NM_001024948.2	chr1	+	93448281	93551125	14	FNBP1L
NM_001025107.2	chr1	-	154584805	154601756	15	ADAR
NM_001025109.1	chr1	-	207887737	207911080	8	CD34
NM_001025197.1	chr1	+	111227729	111242364	10	CHI3L2
NM_001025199.1	chr1	+	111230908	111242364	10	CHI3L2
NM_001025231.1	chr1	+	152759588	152761328	2	KPRP
NM_001025247.1	chr1	-	229602188	229614482	4	TAF5L
NM_001025598.1	chr1	-	161047714	161069624	12	ARHGAP30
NM_001025603.1	chr1	-	151342185	151346320	11	RFX5
NM_001029882.3	chr1	-	27547303	27552115	7	AHDC1
NM_001029885.1	chr1	+	1326910	1327763	3	CPTP
NM_001030.4	chr1	+	153990796	153992093	4	RPS27
NM_001030287.3	chr1	+	212615021	212619555	4	ATF3
NM_001031672.2	chr1	-	54174618	54195616	8	CYB5RL
NM_001031680.2	chr1	-	24902121	24964571	6	RUNX3
NM_001031685.2	chr1	-	223780852	223845680	18	TP53BP2
NM_001031693.2	chr1	+	70354951	70367728	3	HHLA3
NM_001031694.2	chr1	-	41028193	41152674	16	SCMH1
NM_001031725.5	chr1	-	200644253	200666740	8	DDX59
NM_001031740.2	chr1	+	37794182	37799859	4	MANEAL
NM_001031800.2	chr1	+	168179077	168192228	5	TIPRL
NM_001032291.2	chr1	-	109280152	109282698	8	PSRC1
NM_001032363.3	chr1	+	19597045	19626401	4	MINOS1
NM_001032730.1	chr1	-	21728561	21782957	11	USP48
NM_001033025.2	chr1	-	100873941	100888757	5	EXTL2
NM_001033044.3	chr1	-	182384404	182388737	7	GLUL
NM_001033056.3	chr1	-	182384404	182388737	7	GLUL
NM_001033081.2	chr1	-	39897371	39901434	2	MYCL
NM_001033082.2	chr1	-	39897371	39901888	3	MYCL
NM_001033581.1	chr1	+	2144338	2185009	15	PRKCZ
NM_001033582.1	chr1	+	2144338	2185009	15	PRKCZ
NM_001033667.2	chr1	+	160796187	160801917	3	LY9
NM_001033910.2	chr1	+	211353239	211372702	11	TRAF5
NM_001034023.1	chr1	+	44213753	44220618	11	DMAP1
NM_001034024.1	chr1	+	44213753	44220618	11	DMAP1
NM_001034077.4	chr1	-	149860819	149861131	1	HIST2H4B
NM_001035.2	chr1	+	237042521	237832647	105	RYR2
NM_001035230.2	chr1	+	174877494	174957905	4	RABGAP1L
NM_001035511.1	chr1	+	161314405	161362540	5	SDHC
NM_001035512.1	chr1	+	161314405	161362433	5	SDHC
NM_001035513.1	chr1	+	161314405	161362433	4	SDHC
NM_001036645.1	chr1	+	70354951	70366531	3	HHLA3
NM_001036646.1	chr1	+	70354951	70366518	3	HHLA3
NM_001037175.2	chr1	-	223234951	223363425	6	SUSD4
NM_001037277.1	chr1	+	235335264	235342772	4	GGPS1
NM_001037317.1	chr1	-	98893071	99004671	6	PLPPR5
NM_001037339.2	chr1	+	66332389	66372678	10	PDE4B
NM_001037340.2	chr1	+	65992906	66372678	15	PDE4B
NM_001037341.1	chr1	+	65913314	66372678	17	PDE4B
NM_001037501.2	chr1	+	120436522	120466221	20	NBPF8
NM_001037675.3	chr1	-	149055655	149082139	21	NBPF9
NM_001038633.3	chr1	-	37612754	37629661	8	RSPO1
NM_001038707.1	chr1	-	151054246	151055730	6	CDC42SE1
NM_001039152.3	chr1	+	192343036	192366124	5	RGS21
NM_001039211.2	chr1	+	1450683	1468530	12	ATAD3C
NM_001039361.4	chr1	-	12892915	12895847	4	PRAMEF10
NM_001039457.2	chr1	+	43976114	43978007	7	ATP6V0B
NM_001039464.3	chr1	+	54652926	54710187	24	MROH7
NM_001039477.2	chr1	+	27872571	27885431	4	THEMIS2
NM_001039500.2	chr1	+	20310601	20354263	22	VWA5B1
NM_001039517.1	chr1	-	155320777	155321488	2	RUSC1-AS1
NM_001039574.2	chr1	+	110211499	110232972	4	KCNC4
NM_001039577.3	chr1	-	1392781	1399306	6	CCNL2
NM_001039585.1	chr1	+	78492743	78536430	4	PTGFR
NM_001039589.1	chr1	+	43970175	43972539	5	DPH2
NM_001039664.1	chr1	-	6464370	6466107	5	TNFRSF25
NM_001039703.5	chr1	-	146066317	146144769	86	NBPF10
NM_001039711.1	chr1	-	161122146	161124462	5	DEDD
NM_001039712.1	chr1	-	161122146	161124462	6	DEDD
NM_001039715.2	chr1	+	53894210	53909999	3	DIO1
NM_001039716.2	chr1	+	53894210	53909935	3	DIO1
NM_001039775.3	chr1	-	26321967	26346657	20	AIM1L
NM_001039802.1	chr1	+	22078478	22091517	7	CDC42
NM_001039888.3	chr1	-	145960268	145961759	4	ANKRD34A
NM_001040033.1	chr1	+	110891408	110899195	9	CD53
NM_001040125.1	chr1	+	19317677	19328643	8	PQLC2
NM_001040126.1	chr1	+	19324663	19328643	8	PQLC2
NM_001040194.1	chr1	+	11736208	11750192	5	AGTRAP
NM_001040195.1	chr1	+	11736208	11750104	4	AGTRAP
NM_001040196.1	chr1	+	11736208	11750104	6	AGTRAP
NM_001040197.1	chr1	+	11736208	11748593	6	AGTRAP
NM_001040217.2	chr1	-	150997286	151002191	10	FAM63A
NM_001040441.2	chr1	+	32592931	32600419	5	ZBTB8A
NM_001040619.2	chr1	+	212615021	212619105	4	ATF3
NM_001040623.2	chr1	+	111317683	111320466	10	CHIA
NM_001040709.1	chr1	+	109466843	109479548	6	SYPL2
NM_001040874.1	chr1	+	149851113	149851506	1	HIST2H2AA4
NM_001042369.2	chr1	+	193069054	193091685	10	TROVE2
NM_001042370.2	chr1	+	193069054	193091671	10	TROVE2
NM_001042404.1	chr1	-	243126448	243225280	19	CEP170
NM_001042405.1	chr1	-	243126448	243225280	19	CEP170
NM_001042478.1	chr1	+	4655425	4774499	6	AJAP1
NM_001042546.2	chr1	-	46635775	46668391	7	ATPAF1
NM_001042549.1	chr1	-	212739543	212791763	7	NSL1
NM_001042552.2	chr1	+	212791921	212815156	10	TATDN3
NM_001042553.2	chr1	+	212791921	212815156	10	TATDN3
NM_001042583.2	chr1	+	158353988	158356896	6	CD1E
NM_001042584.2	chr1	+	158353988	158356570	6	CD1E
NM_001042585.2	chr1	+	158353988	158356896	6	CD1E
NM_001042586.2	chr1	+	158353988	158356896	4	CD1E
NM_001042587.2	chr1	+	158353988	158356570	4	CD1E
NM_001042663.1	chr1	-	6467562	6497323	22	PLEKHG5
NM_001042664.1	chr1	-	6467562	6477571	21	PLEKHG5
NM_001042665.1	chr1	-	6467562	6477571	21	PLEKHG5
