ID	type	qualifier	systematicName	geneSymbol	alias	parent.feature.name	secondary.sgdid	chromosome	start	stop	strand	genetic.position	coordinate.version	sequence.version	description
S000000055	gene	Verified	YAL059W	ECM1		chromosome 1	L000003052	1	36509	37147	W	NA	2011-02-03	1996-07-31|2011-02-03	Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm
S000035122	CDS					YAL059W		1	36509	37147	W	NA	2011-02-03	1996-07-31|2011-02-03	
S000028734	gene	Dubious	YAL059C-A			chromosome 1		1	36918	36496	C	NA	2011-02-03	2003-07-29|2011-02-03	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified gene ECM1/YAL059W
S000033378	CDS					YAL059C-A		1	36918	36496	C	NA	2011-02-03	2003-07-29|2011-02-03	
S000000054	gene	Verified	YAL058W	CNE1	FUN48	chromosome 1	L000000373	1	37464	38972	W	NA	2011-02-03	1996-07-31	Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast
S000034933	CDS					YAL058W		1	37464	38972	W	NA	2011-02-03	1996-07-31	
S000002139	gene	Dubious	YAL056C-A		YAL058C-A	chromosome 1		1	39046	38696	C	NA	2011-02-03	1996-07-31	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
S000035879	CDS					YAL056C-A		1	39046	38696	C	NA	2011-02-03	1996-07-31	
S000000052	gene	Verified	YAL056W	GPB2	KRH1	chromosome 1		1	39259	41901	W	NA	2011-02-03	2004-01-20|1996-07-31|2011-02-03	Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication
S000033885	CDS					YAL056W		1	39259	41901	W	NA	2011-02-03	2004-01-20|1996-07-31|2011-02-03	
S000121254	ARS		ARS105		ARSI-42	chromosome 1		1	41808	42182		NA	2011-02-03	2007-03-07	Autonomously Replicating Sequence
S000000051	gene	Verified	YAL055W	PEX22	YAF5	chromosome 1		1	42177	42719	W	NA	2011-02-03	1996-07-31	Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation
S000033812	CDS					YAL055W		1	42177	42719	W	NA	2011-02-03	1996-07-31	
S000000050	gene	Verified	YAL054C	ACS1	acetate--CoA ligase 1|FUN44	chromosome 1	L000000024	1	45022	42881	C	-63.11	2011-02-03	1996-07-31	Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions
S000033073	CDS					YAL054C		1	45022	42881	C	NA	2011-02-03	1996-07-31	
S000000049	gene	Verified	YAL053W	FLC2	HUF2	chromosome 1		1	45899	48250	W	NA	2011-02-03	1996-07-31|2011-02-03	Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication
S000033037	CDS					YAL053W		1	45899	48250	W	NA	2011-02-03	1996-07-31|2011-02-03	
S000000048	gene	Verified	YAL051W	OAF1	YAF1	chromosome 1	L000004197	1	48564	51707	W	NA	2011-02-03	2004-07-20|1996-07-31|2011-02-03	Oleate-activated transcription factor; acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis; OAF1 has a paralog, PIP2, that arose from the whole genome duplication
S000032862	CDS					YAL051W		1	48564	51707	W	NA	2011-02-03	2004-07-20|1996-07-31|2011-02-03	
S000000047	gene	Verified	YAL049C	AIM2		chromosome 1		1	52595	51855	C	NA	2011-02-03	1996-07-31	Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor
S000031896	CDS					YAL049C		1	52595	51855	C	NA	2011-02-03	1996-07-31	
S000028733	gene	Dubious	YAL047W-A			chromosome 1		1	54584	54913	W	NA	2011-02-03	2003-07-29	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
S000033377	CDS					YAL047W-A		1	54584	54913	W	NA	2011-02-03	2003-07-29	
S000000046	gene	Verified	YAL048C	GEM1	GON1	chromosome 1		1	54789	52801	C	NA	2011-02-03	1996-07-31	Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases
S000030895	CDS					YAL048C		1	54789	52801	C	NA	2011-02-03	1996-07-31	
S000000045	gene	Verified	YAL047C	SPC72	LDB4	chromosome 1	L000003455	1	56857	54989	C	NA	2011-02-03	1996-07-31|2011-02-03	Component of the cytoplasmic Tub4p (gamma-tubulin) complex, binds spindle pole bodies and links them to microtubules; has roles in astral microtubule formation and stabilization
S000030803	CDS					YAL047C		1	56857	54989	C	NA	2011-02-03	1996-07-31|2011-02-03	
S000000044	gene	Verified	YAL046C	AIM1		chromosome 1		1	57385	57029	C	NA	2011-02-03	1996-07-31	Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss
S000030666	CDS					YAL046C		1	57385	57029	C	NA	2011-02-03	1996-07-31	
S000007586	gene	Uncharacterized	YAL044W-A			chromosome 1		1	57518	57850	W	NA	2011-02-03	2001-01-30	Putative protein of unknown function; similar to S. pombe uvi31 which is a putative DNA repair protein
S000037097	CDS					YAL044W-A		1	57518	57850	W	NA	2011-02-03	2001-01-30	
S000000043	gene	Dubious	YAL045C			chromosome 1		1	57796	57488	C	NA	2011-02-03	1996-07-31	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A
S000030576	CDS					YAL045C		1	57796	57488	C	NA	2011-02-03	1996-07-31	
S000000042	gene	Verified	YAL044C	GCV3	glycine decarboxylase subunit H	chromosome 1	L000003501	1	58462	57950	C	NA	2011-02-03	2003-09-22|1996-07-31|2008-03-05	H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF
S000037751	CDS					YAL044C		1	58462	57950	C	NA	2011-02-03	2003-09-22|1996-07-31|2008-03-05	
S000000041	gene	Verified	YAL043C	PTA1	FUN39	chromosome 1	L000001522	1	61052	58695	C	NA	2011-02-03	1996-07-31	Subunit of holo-CPF, a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3 ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII
S000037691	CDS					YAL043C		1	61052	58695	C	NA	2011-02-03	1996-07-31	
S000000040	gene	Verified	YAL042W	ERV46	FUN9	chromosome 1	L000000633	1	61316	62563	W	NA	2011-02-03	1996-07-31	Protein localized to COPII-coated vesicles, forms a complex with Erv41p; involved in the membrane fusion stage of transport
S000037669	CDS					YAL042W		1	61316	62563	W	NA	2011-02-03	1996-07-31	
S000002138	gene	Dubious	YAL042C-A		YAL043C-A	chromosome 1		1	61608	61231	C	NA	2011-02-03	1996-07-31	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene
S000030422	CDS					YAL042C-A		1	61608	61231	C	NA	2011-02-03	1996-07-31	
S000000039	gene	Verified	YAL041W	CDC24	CLS4	chromosome 1	L000000262	1	62840	65404	W	-56	2011-02-03	1996-07-31	Guanine nucleotide exchange factor for Cdc42p; also known as a GEF or GDP-release factor; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress
S000037599	CDS					YAL041W		1	62840	65404	W	NA	2011-02-03	1996-07-31	
S000000038	gene	Verified	YAL040C	CLN3	WHI1|FUN10|DAF1	chromosome 1	L000000359	1	67520	65778	C	-56	2011-02-03	1996-07-31	G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetly-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry.
S000036825	CDS					YAL040C		1	67520	65778	C	NA	2011-02-03	1996-07-31	
S000000037	gene	Verified	YAL039C	CYC3	holocytochrome c synthase CYC3|CCHL|cytochrome c heme lyase	chromosome 1	L000000450	1	69525	68716	C	-47	2011-02-03	1996-07-31	Cytochrome c heme lyase (holocytochrome c synthase), attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space; human ortholog may have a role in microphthalmia with linear skin defects (MLS)
S000035956	CDS					YAL039C		1	69525	68716	C	NA	2011-02-03	1996-07-31	
S000118318	ARS		ARS106		ARSI-70	chromosome 1		1	70257	70489		NA	2011-02-03	2006-08-30	Autonomously Replicating Sequence
S000000036	gene	Verified	YAL038W	CDC19	pyruvate kinase CDC19|PYK1	chromosome 1	L000000258	1	71786	73288	W	-45	2011-02-03	1996-07-31	Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication
S000035915	CDS					YAL038W		1	71786	73288	W	NA	2011-02-03	1996-07-31	
S000028592	gene	Dubious	YAL037C-B			chromosome 1		1	73300	72326	C	NA	2011-02-03	2003-07-29	Dubious open reading frame unlikely to encode a protein; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
S000031366	CDS					YAL037C-B		1	73300	72326	C	NA	2011-02-03	2003-07-29	
S000028732	gene	Uncharacterized	YAL037C-A			chromosome 1		1	73518	73426	C	NA	2011-02-03	2003-07-29	Putative protein of unknown function
S000033376	CDS					YAL037C-A		1	73518	73426	C	NA	2011-02-03	2003-07-29	
S000000035	gene	Uncharacterized	YAL037W			chromosome 1		1	74020	74823	W	NA	2011-02-03	1996-07-31	Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication
S000035798	CDS					YAL037W		1	74020	74823	W	NA	2011-02-03	1996-07-31	
S000000034	gene	Verified	YAL036C	RBG1	FUN11	chromosome 1	L000000634	1	76152	75043	C	NA	2011-02-03	1996-07-31	Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid
S000034719	CDS					YAL036C		1	76152	75043	C	NA	2011-02-03	1996-07-31	
S000000033	gene	Verified	YAL035W	FUN12	eIF5B|yIF2	chromosome 1	L000000635	1	76427	79435	W	NA	2011-02-03	1996-07-31	GTPase required for general translation initiation; promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2
S000034678	CDS					YAL035W		1	76427	79435	W	NA	2011-02-03	1996-07-31	
S000000032	gene	Verified	YAL034W-A	MTW1	NSL2|DSN3	chromosome 1	S000007418	1	79718	80587	W	NA	2011-02-03	1996-07-31	Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly
S000031836	CDS					YAL034W-A		1	79718	80587	W	NA	2011-02-03	1996-07-31	
S000002137	gene	Dubious	YAL034C-B		YAL035C-A	chromosome 1		1	79842	79489	C	NA	2011-02-03	1996-07-31	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
S000031374	CDS					YAL034C-B		1	79842	79489	C	NA	2011-02-03	1996-07-31	
S000002134	gene	Verified	YAL034C	FUN19		chromosome 1	L000000637	1	81951	80710	C	NA	2011-02-03	2003-09-22|1996-07-31	Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication
S000034508	CDS					YAL034C		1	81951	80710	C	NA	2011-02-03	2003-09-22|1996-07-31	
S000000031	gene	Verified	YAL033W	POP5	FUN53	chromosome 1	L000004301|L000000649	1	82706	83227	W	NA	2011-02-03	1996-07-31	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5 ends and facilitates turnover of nuclear RNAs
S000034465	CDS					YAL033W		1	82706	83227	W	NA	2011-02-03	1996-07-31	
S000000030	gene	Verified	YAL032C	PRP45	FUN20	chromosome 1	L000000638	1	84474	83335	C	NA	2011-02-03	1996-07-31	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene
S000033541	CDS					YAL032C		1	84474	83335	C	NA	2011-02-03	1996-07-31	
S000028731	gene	Dubious	YAL031W-A			chromosome 1		1	84669	84977	W	NA	2011-02-03	2003-07-29	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
S000033375	CDS					YAL031W-A		1	84669	84977	W	NA	2011-02-03	2003-07-29	
S000000029	gene	Verified	YAL031C	GIP4	FUN21	chromosome 1	L000000639	1	87031	84749	C	NA	2011-02-03	1996-07-31	Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate
S000033476	CDS					YAL031C		1	87031	84749	C	NA	2011-02-03	1996-07-31	
S000000028	gene	Verified	YAL030W	SNC1		chromosome 1	L000001942	1	87286	87752	W	NA	2011-02-03	1996-07-31	Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication
S000033437	CDS					YAL030W		1	87286	87387	W	NA	2011-02-03	1996-07-31	
S000033438	CDS					YAL030W		1	87501	87752	W	NA	2011-02-03	1996-07-31	
S000033439	intron					YAL030W		1	87388	87500	W	NA	2011-02-03	1996-07-31	
S000000027	gene	Verified	YAL029C	MYO4	myosin 4|SHE1|FUN22	chromosome 1	L000000640|L000001224	1	92270	87855	C	NA	2011-02-03	1996-07-31	Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication
S000033821	CDS					YAL029C		1	92270	87855	C	NA	2011-02-03	1996-07-31	
S000000026	gene	Verified	YAL028W	FRT2	HPH2	chromosome 1		1	92900	94486	W	NA	2011-02-03	1996-07-31	Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication
S000033747	CDS					YAL028W		1	92900	94486	W	NA	2011-02-03	1996-07-31	
S000000025	gene	Verified	YAL027W	SAW1		chromosome 1		1	94687	95472	W	NA	2011-02-03	1996-07-31	5- and 3-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3 non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus
S000033629	CDS					YAL027W		1	94687	95472	W	NA	2011-02-03	1996-07-31	
S000028730	gene	Dubious	YAL026C-A			chromosome 1		1	95823	95386	C	NA	2011-02-03	2003-07-29	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2
S000033374	CDS					YAL026C-A		1	95823	95386	C	NA	2011-02-03	2003-07-29	
S000119380	ncRNA		HRA1	HRA1		chromosome 1		1	99305	99868	W	NA	2011-02-03	2007-02-06|2007-05-08|2011-02-03	Non-protein-coding RNA, substrate of RNase P, possibly involved in rRNA processing, specifically maturation of 20S precursor into the mature 18S rRNA
S000120654	noncoding_exon					HRA1		1	99305	99868	W	NA	2011-02-03	2007-02-06|2007-05-08|2011-02-03	
S000000024	gene	Verified	YAL026C	DRS2	aminophospholipid-translocating P4-type ATPase DRS2|SWA3|FUN38	chromosome 1	L000000526	1	99697	95630	C	NA	2011-02-03	1996-07-31|2011-02-03	Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation and endocytosis; mutations in human homolog ATP8B1 result in liver disease
S000030197	CDS					YAL026C		1	99697	95630	C	NA	2011-02-03	1996-07-31|2011-02-03	
S000000023	gene	Verified	YAL025C	MAK16		chromosome 1	L000000989	1	101145	100225	C	-31	2011-02-03	1996-07-31|2011-02-03	Essential nuclear protein, constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus
S000030064	CDS					YAL025C		1	101145	100225	C	NA	2011-02-03	1996-07-31|2011-02-03	
S000000022	gene	Verified	YAL024C	LTE1	MSI2	chromosome 1	L000000955	1	105872	101565	C	-31	2011-02-03	1996-07-31	Protein similar to GDP/GTP exchange factors but without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures
S000029981	CDS					YAL024C		1	105872	101565	C	NA	2011-02-03	1996-07-31	
S000000021	gene	Verified	YAL023C	PMT2	FUN25	chromosome 1	L000000642|L000001459	1	108551	106272	C	NA	2011-02-03	2002-12-17|1996-07-31	Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication
S000037355	CDS					YAL023C		1	108551	106272	C	NA	2011-02-03	2002-12-17|1996-07-31	
S000000020	gene	Verified	YAL022C	FUN26		chromosome 1	L000000643	1	110430	108877	C	NA	2011-02-03	1996-07-31	Vacuolar membrane transporter with broad nucleoside selectivity; may regulate balance of nicotinamide riboside (NmR) levels between cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis
S000037286	CDS					YAL022C		1	110430	108877	C	NA	2011-02-03	1996-07-31	
S000000019	gene	Verified	YAL021C	CCR4	NUT21|FUN27	chromosome 1	L000000239	1	113359	110846	C	-25	2011-02-03	1996-07-31	Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening
S000037200	CDS					YAL021C		1	113359	110846	C	NA	2011-02-03	1996-07-31	
S000028729	gene	Dubious	YAL019W-A			chromosome 1		1	114250	114819	W	NA	2011-02-03	2003-07-29	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
S000032720	CDS					YAL019W-A		1	114250	114819	W	NA	2011-02-03	2003-07-29	
S000000018	gene	Verified	YAL020C	ATS1	KTI13|FUN28	chromosome 1	L000000644|L000000154	1	114615	113614	C	NA	2011-02-03	1996-07-31|2011-02-03	Protein required, with Elongator complex, Kti11p, and Kti12p, for modification of wobble nucleosides in tRNA; has a potential role in regulatory interactions between microtubules and the cell cycle
S000037124	CDS					YAL020C		1	114615	113614	C	NA	2011-02-03	1996-07-31|2011-02-03	
S000000017	gene	Verified	YAL019W	FUN30		chromosome 1	L000000645	1	114919	118314	W	NA	2011-02-03	1996-07-31	Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5 strand resection of DSBs; potential Cdc28p substrate
S000037555	CDS					YAL019W		1	114919	118314	W	NA	2011-02-03	1996-07-31	
S000000016	gene	Uncharacterized	YAL018C			chromosome 1		1	119541	118564	C	NA	2011-02-03	1996-07-31	Putative protein of unknown function
S000032033	CDS					YAL018C		1	119541	118564	C	NA	2011-02-03	1996-07-31	
S000000015	gene	Verified	YAL017W	PSK1	FUN31	chromosome 1	L000000646	1	120225	124295	W	NA	2011-02-03	1996-07-31|2011-02-03	PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication
S000031992	CDS					YAL017W		1	120225	124295	W	NA	2011-02-03	1996-07-31|2011-02-03	
S000118319	ARS		ARS107		ARSI-125	chromosome 1		1	124349	124597		NA	2011-02-03	2006-08-30	Autonomously Replicating Sequence
S000028528	gene	Dubious	YAL016C-B			chromosome 1		1	124492	124307	C	NA	2011-02-03	2003-07-29	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
S000030333	CDS					YAL016C-B		1	124492	124307	C	NA	2011-02-03	2003-07-29	
